Averaged Grid, with depth 12:
Data Frame:
765, 1545, 918, 377,
1135, 1626, 1640, 1531,
991, 1704, 1449, 1180,
181, 1580, 1471, 1083,
1301, 1544, 618, 282,
1579, 1357, 1136, 789,
1433, 1284, 1310, 1310,
879, 1309, 1349, 1234,
Averaged Grid, with depth 12:
Data Frame:
857, 1545, 1006, 408,
1132, 1631, 1641, 1526,
1124, 1706, 1586, 1321,
194, 1706, 1467, 1229,
1304, 1544, 746, 315,
1581, 1488, 1269, 924,
1436, 1424, 1452, 1453,
966, 1447, 1492, 1376,
Averaged Grid, with depth 12:
Data Frame:
762, 1546, 1094, 415,
1259, 1629, 1639, 1528,
1258, 1707, 1586, 1463,
208, 1704, 1602, 1373,
1195, 1543, 872, 350,
1474, 1620, 1404, 1059,
1564, 1563, 1590, 1594,
1054, 1589, 1637, 1518,
Averaged Grid, with depth 12:
Data Frame:
746, 1433, 1183, 422,
1267, 1629, 1640, 1531,
1383, 1705, 1718, 1604,
218, 1700, 1740, 1515,
1200, 1542, 997, 382,
1360, 1510, 1536, 1191,
1456, 1697, 1730, 1736,
1147, 1727, 1782, 1671,
Averaged Grid, with depth 12:
Data Frame:
728, 1314, 1156, 427,
1259, 1504, 1642, 1532,
1375, 1585, 1715, 1729,
217, 1693, 1747, 1641,
1083, 1543, 1092, 403,
1239, 1394, 1645, 1317,
1337, 1694, 1732, 1740,
1077, 1730, 1783, 1799,
Averaged Grid, with depth 12:
Data Frame:
700, 1194, 1121, 409,
1140, 1376, 1512, 1410,
1358, 1450, 1579, 1725,
207, 1562, 1617, 1643,
966, 1422, 1071, 409,
1115, 1392, 1646, 1318,
1215, 1567, 1607, 1740,
988, 1728, 1654, 1797,
Averaged Grid, with depth 12:
Data Frame:
577, 1072, 998, 414,
1016, 1249, 1381, 1288,
1236, 1315, 1444, 1728,
197, 1429, 1483, 1644,
845, 1301, 1162, 420,
991, 1387, 1650, 1430,
1094, 1438, 1607, 1740,
903, 1603, 1658, 1797,
Averaged Grid, with depth 12:
Data Frame:
461, 949, 963, 410,
994, 1120, 1252, 1397,
1114, 1182, 1310, 1726,
187, 1298, 1357, 1648,
725, 1180, 1144, 433,
866, 1266, 1652, 1544,
972, 1436, 1605, 1742,
822, 1611, 1658, 1811,
Averaged Grid, with depth 12:
Data Frame:
438, 826, 945, 401,
873, 992, 1255, 1400,
990, 1049, 1313, 1726,
178, 1164, 1228, 1637,
608, 1059, 1246, 436,
744, 1263, 1650, 1544,
848, 1312, 1603, 1742,
740, 1611, 1657, 1808,
Averaged Grid, with depth 12:
Data Frame:
416, 709, 832, 404,
755, 871, 1254, 1394,
874, 1050, 1313, 1728,
177, 1154, 1228, 1625,
590, 1056, 1229, 438,
625, 1263, 1654, 1546,
732, 1313, 1600, 1737,
704, 1610, 1653, 1813,
Averaged Grid, with depth 12:
Data Frame:
400, 600, 833, 404,
648, 869, 1255, 1396,
872, 1050, 1312, 1729,
176, 1156, 1228, 1623,
480, 1054, 1231, 439,
514, 1265, 1657, 1545,
732, 1318, 1602, 1737,
708, 1614, 1656, 1814,
Averaged Grid, with depth 12:
Data Frame:
400, 600, 834, 404,
644, 868, 1255, 1395,
869, 1047, 1312, 1731,
174, 1159, 1226, 1624,
483, 1053, 1231, 440,
513, 1262, 1658, 1547,
733, 1321, 1603, 1738,
693, 1615, 1654, 1813,
Averaged Grid, with depth 12:
