Sensor 1: 
8x8 GRID
 333  333  342  367  367  376  347  309
 336  390  362  385  375  398 1978  296
 314  425  383  424 2027 1998 1994 2046
 353 1869  370  499  482  372 2056 2008
1865 1973 1882  429 2034 1947 1888 1929
1825 1866 1897 1924 1927 1942 1909 1944
1916 1803 1897 1867 1881 1893 1951 1901
1717 1743 1738 1834 1789 1844 1862 1812
Sensor 1: 
8x8 GRID
2998  367  357  345  363  387  341 1729
 802  394  382  384  386  375 2026 1953
2025  410 1864  432  483  450 2034 1948
 450 1882 1868 1983  483 1978 1879 1911
 346 1859 1900 1975 1926 1869 1972 1928
   0 1809 1859 1877 1831 1946 1826 1829 
1451 1891 1834 1832 1860 1859 1850 1814
